name,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter [A],largest_included_sphere_along_free_sphere_path_diameter [A],largest_included_sphere_diameter [A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2_uptake_REPEAT_chg_P0.15bar_T298K [mmol/g],CO2_uptake_error_REPEAT_chg_P0.15bar_T313K [mmol/g],heat_adsorption_CO2_REPEAT_chg_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_REPEAT_chg_P0.15bar_T298K [kcal/mol],CO2_uptake_REPEAT_chg_P0.15bar_T313K [mmol/g],heat_adsorption_CO2_REPEAT_chg_P0.15bar_T313K [kcal/mol],heat_adsorption_error_CO2_REPEAT_chg_P0.15bar_T313K [kcal/mol],CO2_uptake_REPEAT_chg_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_REPEAT_chg_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_REPEAT_chg_P0.10bar_T363K [kcal/mol],CO2_uptake_REPEAT_chg_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_REPEAT_chg_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_REPEAT_chg_P0.70bar_T413K [kcal/mol],CO2/N2_selectivity_REPEAT_chg,working_capacity_vacuum_swing_REPEAT_chg [mmol/g],working_capacity_temperature_swing_REPEAT_chg [mmol/g],CO2/N2_selectivity_REPEAT_chg_T313K_adsorption,working_capacity_vacuum_swing_REPEAT_chg_T313K_adsorption [mmol/g],working_capacity_temperature_swing_REPEAT_chg_T313K_adsorption [mmol/g],henry_coefficient_CO2_298K [mol/kg/bar],henry_coefficient_N2_298K [mol/kg/bar],henry_coefficient_H2O_298K [mol/kg/bar],clique_density [mmol/cm^3],adsorbaphore_label
str_m5_o16_o16_sra_sym.77,5.955197,0.117622,9.223227,0.546586,5.955127,0.840043,0.29580300000000004,7.972884,5.106942,0.8400040000000001,1.496286,0.575907,8.155453,5.646148999999999,1.496049,5.115154,4.458911,5.220817,0.226057,9.057155999999999,1.171093,5.220747,0.240941,0.029948000000000002,4.978045,1.516875,0.24072800000000003,109.78679209999999,2473.186302,1493.0118400000001,613.3,0.14835,0.148,4.6137,3.7804699999999998,4.6137,Pr,9,16,16,sra,6.2107980000000005,0.22758899999999999,9.34423,0.21229299999999998,4.900736,9.282094,0.357892,1.065279,8.437483,0.11458800000000001,1.636786,8.755894,0.187896,161.970279,5.145519,4.574012000000001,111.50036100000001,3.835457,3.26395,296247.0,1969.57,24552.0,5.875,N/A
str_m5_o13_o18_sra_sym.149,5.5244860000000005,0.155094,8.674097999999999,0.753841,5.5244860000000005,0.6889649999999999,0.19196300000000002,7.546794,3.803472,0.6889649999999999,1.210915,0.455165,7.71165,5.180397,1.210915,4.835521,4.313571,5.428172,0.07649500000000001,7.5472529999999995,0.319204,5.428172,0.194073,0.019983,4.474539,2.1823810000000003,0.194073,141.71336630000002,2514.6276980000002,1504.68312,0.0,0.1798,0.181,4.24711,3.26179,4.24603,NO2,9,13,18,sra,4.58718,0.278659,8.291830000000001,0.257972,3.140491,7.758156,0.122156,0.55395,7.174316,0.083617,1.0685930000000001,7.270828999999999,0.099311,91.093301,4.0332300000000005,3.518587,60.97943299999999,2.586541,2.071898,81843.9,1248.03,11339.5,,N/A
str_m5_o2_o18_sra_sym.4,5.517258,0.08432,10.791553,0.5140520000000001,5.517258,1.881691,0.166854,9.246777999999999,1.511943,1.881691,2.295509,0.006183,9.461086,0.064854,2.295509,3.635567,3.221749,4.797166000000001,0.11447,9.854624000000001,0.716795,4.797166000000001,0.08847999999999999,0.011652,5.051593,2.454686,0.08847999999999999,274.7020916,2128.61292,1424.81024,0.0,0.10245,0.0922,4.11419,2.93595,3.63925,H,9,2,18,sra,5.818175,0.183172,10.927010000000001,0.795388,5.010318,9.525442,0.382549,1.7360959999999999,9.706417,0.10454200000000001,2.11492,9.515621000000001,0.133007,555.428129,4.082079,3.7032550000000004,364.923807,3.274222,2.895398,1012950.0,1521.47,21064.9,12.19,A1
str_m5_o17_o17_sra_sym.74,5.391225,0.102721,8.021999000000001,0.45057700000000006,5.391126,1.246512,0.41881999999999997,9.1639,5.67328,1.246457,1.623211,0.571483,8.380189,5.3229239999999995,1.622876,4.144712999999999,3.768014,4.470664,0.334426,10.082488,2.306016,4.4705639999999995,0.270158,0.018956,4.486587,0.9977299999999999,0.270158,83.84487695,3113.958138,1757.4164,712.95,0.15220999999999998,0.1624,5.07212,3.45055,5.0721099999999995,Pr,9,17,17,sra,6.315787,0.190173,8.493514,0.44278199999999995,5.297598000000001,8.816355999999999,0.424824,1.434552,9.507108,0.184152,1.8969599999999998,9.156908999999999,0.152534,217.759698,4.881235,4.418826999999999,183.001335,3.8630459999999998,3.400638,540511.0,1096.3,21645.3,5.0,N/A
str_m5_o2_o18_sra_sym.46,5.300974,0.137074,9.708692999999998,0.745276,5.300974,1.751121,0.629563,9.747844,6.490405,1.751121,1.991057,0.41524099999999997,9.553706,3.642586,1.991057,3.5498529999999997,3.309917,4.564280999999999,0.0493,9.505388,0.33118400000000003,4.564280999999999,0.092244,0.005399,5.348607,2.528195,0.092244,250.7012966,2128.619397,1424.81024,0.0,0.10247,0.0922,4.134580000000001,2.9315,3.6398099999999998,H,9,2,18,sra,5.8394260000000004,0.15176099999999998,10.085827,0.41436000000000006,5.000901,9.803741,0.163601,1.745972,9.699187,0.10690799999999999,2.077847,9.683378999999999,0.23594400000000001,546.0589570000001,4.093454,3.7615790000000002,365.454509,3.254929,2.923054,1038090.0,1518.59,21065.8,12.19,A1
str_m5_o10_o29_sra_sym.33,5.295262,0.137719,7.648834,0.59109,5.2948580000000005,0.6400899999999999,0.153825,7.039756,3.036856,0.6398689999999999,1.164364,0.363162,6.758703,3.7040839999999995,1.163006,4.655172,4.130898,5.212502,0.299858,8.510197,1.527785,5.212098,0.316897,0.038624,4.825069,2.55356,0.315324,83.33941354,3445.3599280000003,1932.95088,1890.74,0.23881,0.2563,5.84914,4.52538,5.4939800000000005,NO2,9,10,29,sra,5.32897,0.370012,7.861353,0.29899899999999996,3.591588,7.721983,0.25774,0.626635,7.045978999999999,0.052557000000000006,1.2469379999999999,7.029933,0.059687,95.311656,4.702335,4.082032,64.384924,2.964953,2.34465,74066.2,1083.47,43278.9,3.01,A2
str_m5_o4_o18_sra_sym.55,5.182181,0.15073599999999998,8.339754,0.724442,5.182181,0.9238049999999999,0.305849,7.990033,4.812953,0.9238049999999999,1.557428,0.587657,8.108634,5.499832,1.557428,4.258376,3.6247529999999997,5.081086,0.067837,8.164226,0.340352,5.081086,0.21042600000000003,0.008844,4.817319,0.8073560000000001,0.21042600000000003,122.3430996,2178.743172,1304.70324,0.0,0.15824000000000002,0.1591,4.73191,3.1225,4.46314,Me,9,4,18,sra,5.672206,0.264388,9.430119,0.414382,4.449391,8.607066,0.250639,1.168401,8.464944000000001,0.100048,1.718835,8.444566,0.10862999999999999,172.05708700000002,4.503805000000001,3.9533709999999997,123.319748,3.28099,2.730556,328023.0,1688.15,16678.8,7.62,A1
str_m5_o10_o29_sra_sym.35,5.156672,0.009645,6.6291649999999995,0.060935,5.156178,0.5328890000000001,0.065539,6.7922270000000005,1.4932940000000001,0.532619,1.3238969999999999,0.355978,7.318014999999999,3.494068,1.322236,4.623783,3.832775,4.584183,0.029318,6.487361,0.099352,4.58369,0.34583400000000003,0.00318,3.84495,0.10035,0.343853,67.16091304,3441.66214,1813.0192,2069.11,0.25127,0.2872,5.881419999999999,4.72918,5.39206,NH2,9,10,29,sra,5.431901,0.41454300000000005,8.29427,0.31669,3.699264,7.195651,0.22778400000000001,0.648231,6.906828999999999,0.083959,1.320242,7.091778999999999,0.115525,82.939097,4.78367,4.1116589999999995,58.507554000000006,3.0510330000000003,2.379022,71453.2,1095.66,32601.5,2.41,A2
str_m5_o13_o18_sra_sym.51,5.152343,0.129212,8.321648,0.638768,5.152277,0.77131,0.24056999999999998,7.660313,4.3284839999999996,0.771274,1.3272760000000001,0.508866,7.683674000000001,5.262393,1.3270540000000002,4.381033,3.8250669999999998,4.971585,0.030666000000000002,7.6201039999999995,0.13836400000000001,4.971519,0.153202,0.005661,4.502888,0.459379,0.153202,164.41928959999998,2509.252432,1504.68312,804.33,0.17229,0.173,4.17694,3.4378900000000003,4.17694,NO2,9,13,18,sra,4.971522,0.28952100000000003,8.810103,0.289457,3.6663099999999997,8.489641,0.162379,0.796195,8.231924000000001,0.099803,1.288402,7.9166669999999995,0.086661,131.454239,4.175326999999999,3.6831199999999997,96.608959,2.870115,2.377908,151027.0,1025.47,35709.1,,N/A
str_m2_o10_o29_pcu_sym.138,5.149628,0.181607,7.719653,0.8418030000000001,5.1493139999999995,0.78052,0.161012,7.140374,2.648335,0.780349,1.412087,0.41941999999999996,7.246084,3.8169480000000005,1.41103,4.369108,3.7375410000000002,4.783261,0.038782,6.947715,0.137318,4.782947,0.36948600000000004,0.020903,4.80058,0.917819,0.368392,65.59163017,1749.3597940000002,955.82612,1900.69,0.21895,0.2413,5.0891,3.92709,5.0891,Me,2,10,29,pcu,5.853826000000001,0.451834,8.685941999999999,0.17313499999999998,4.173618,8.506209,0.232517,0.816735,7.303097999999999,0.048885000000000005,1.517025,7.389458,0.074512,92.838038,5.037091,4.336801,61.362138,3.3568830000000003,2.656593,104750.0,1806.41,78268.2,4.745,A2

