Epoch,Training_MSE,Validation_MSE
1,0.2834129703389978,0.27745431661605835
2,0.2593975021115937,0.28759169578552246
3,0.2432899344448142,0.2575806975364685
4,0.22773193060935523,0.25112852454185486
5,0.22378219885986167,0.2554422616958618
6,0.2167130349139744,0.2599973678588867
7,0.21302456732509534,0.2575927972793579
8,0.21259841873426108,0.25590264797210693
9,0.20905105993202017,0.24590648710727692
10,0.20690208580491778,0.24332967400550842
11,0.20623700009538504,0.24452845752239227
12,0.20464011509828295,0.24784789979457855
13,0.20470630029255432,0.23929649591445923
14,0.20121918829490698,0.2450750768184662
15,0.20011073134388035,0.23755478858947754
16,0.1961069939694552,0.237928569316864
17,0.19647259213992083,0.2413037270307541
18,0.19735036902490513,0.24391406774520874
19,0.1950809892756253,0.23823946714401245
20,0.19621864954854326,0.23804455995559692
